animal,session_file,model,negloglike,bic,nlike,par_H,par_beta,par_alpha_k,par_beta_k
1806,1806_phase3_R71_NoCue_1805021142.log,belief,35.49223349785416,80.00618600874202,0.6770402570638927,0.06342546227863947,5.923753752623562,,
1806,1806_phase3_R71_NoCue_1805021142.log,belief_ck,32.69835840291011,83.44015483188761,0.6981490782902262,0.09796246665312243,3.2116278235405695,0.999999,1.222885769323684
1806,1806_phase3_R71_NoCue_1805101101.log,belief,266.3307754955735,544.5680376597226,0.5006899418420442,0.9731747153072592,0.30580248001232263,,
1806,1806_phase3_R71_NoCue_1805101101.log,belief_ck,100.04712577631457,223.90722488978028,0.7711574859429183,0.19537810300044287,2.268278262973219,0.3464868481856595,3.2206324610503807
1806,1806_phase3_R71_NoCue_1805121427.log,belief,414.50755702162087,841.802295551143,0.499995365366987,0.999999,0.001,,
1806,1806_phase3_R71_NoCue_1805121427.log,belief_ck,197.58826202701192,420.7508870698264,0.7186253313920964,0.23871280195279562,2.8832750246752945,0.3800348798272778,2.8379948871611496
1806,1806_phase3_R71_NoCue_1805141012.log,belief,554.9997885074976,1123.3712989091318,0.500131792098327,0.999999,0.08432728525976346,,
1806,1806_phase3_R71_NoCue_1805141012.log,belief_ck,212.7497899843948,452.24302375706304,0.7667417536833342,0.19501870259882184,2.982847946996353,0.3841472943972043,3.182540869167098
1806,1806_phase3_R71_NoCue_1805151718.log,belief,443.87256028484825,900.7265676387015,0.5098928263780922,0.5057621629419456,100.0,,
1806,1806_phase3_R71_NoCue_1805151718.log,belief_ck,119.17021206520069,264.30331826841143,0.8345731189272242,0.29043501952185513,3.0078022833424485,0.4709229207385693,3.624465626652617
1806,1806_phase3_R71_NoCue_1805161014.log,belief,315.6749954708978,644.186720813668,0.5975200936607614,0.5209707112430105,100.0,,
1806,1806_phase3_R71_NoCue_1805161014.log,belief_ck,32.733844423065754,91.14114858987635,0.9480012862352963,0.4946948244583972,78.31172163578044,0.43685075330196055,5.099599127041392
1806,1806_phase3_R71_NoCue_1805171059.log,belief,291.44463757515894,595.2983906754553,0.5550056164226911,0.5153247413974673,100.0,,
1806,1806_phase3_R71_NoCue_1805171059.log,belief_ck,24.943250854910627,74.70473276009602,0.9508581315293515,0.4042841310039086,18.061061655176747,0.5258196170681124,5.737870175818583
1806,1806_phase3_R71_NoCue_1805181532.log,belief,141.1845905135406,293.6458903657487,0.6050547887267052,0.5215154115003454,100.0,,
1806,1806_phase3_R71_NoCue_1805181532.log,belief_ck,16.11840886775011,54.7902364128352,0.9442532404253134,0.4826175286869667,100.0,0.22146274101898536,6.08718866685908
1806,1806_phase3_R71_NoCue_1805211627.log,belief,14.38462573623586,35.82197252170404,0.6550280449562808,0.0001334787019717313,3.3454668525187876,,
1806,1806_phase3_R71_NoCue_1805211627.log,belief_ck,11.176363746770182,36.45816959200501,0.7198470063101802,0.32796980941110865,6.465216853284493,0.6538287793832273,2.279878251388767
1806,1806_phase3_R71_NoCue_1805211635.log,belief,565.1489029714378,1143.711530616081,0.5011293240219616,0.501940959343136,100.0,,
1806,1806_phase3_R71_NoCue_1805211635.log,belief_ck,200.3185318907823,427.4645131279756,0.7827920645341013,0.2519845051046807,2.885657775340684,0.48766083032564733,3.1905954652653548
1806,1806_phase3_R71_NoCue_1805221703.log,belief,445.11086616654666,903.4645436366216,0.5528376503749485,0.00024667617419173274,1.7154924954246715,,
1806,1806_phase3_R71_NoCue_1805221703.log,belief_ck,225.16756247597831,476.82074755901317,0.7409488741868527,0.11336129865159551,2.006595275850968,0.5336450532348085,2.593416023712116
1806,1806_phase3_R71_NoCue_1805231439.log,belief,304.3333251310357,620.8717674512985,0.5061940529984233,0.05106420360603692,0.7478445380013846,,
1806,1806_phase3_R71_NoCue_1805231439.log,belief_ck,176.4488578877872,377.3079501540287,0.6738551014151285,0.0968554649426729,1.075152597549384,0.38885069042221676,2.3677394753122534
1806,1806_phase3_R71_NoCue_1805241231.log,belief,303.32124986630276,618.8874853516343,0.5141819028535505,1e-06,0.8542181244376639,,
1806,1806_phase3_R71_NoCue_1805241231.log,belief_ck,146.14934996593732,316.7886711699322,0.725783904657343,0.11452461156879853,1.5685688829833824,0.43845646030773944,2.677392811008003
1806,1806_phase3_R71_NoCue_1805251320.log,belief,193.04741783456396,397.53545922234275,0.531027030809822,3.2978986219572304e-05,1.272458788199745,,
1806,1806_phase3_R71_NoCue_1805251320.log,belief_ck,111.9138185783585,246.70888426314664,0.6928577604633411,0.025776710999957455,0.8534803008654311,0.4708243930706108,2.3596808167476953
1806,1806_phase3_R71_NoCue_1805271825.log,belief,536.559209026148,1086.510015886413,0.5151806884912583,7.03793473717189e-05,0.8938269936431319,,
1806,1806_phase3_R71_NoCue_1805271825.log,belief_ck,361.84017210748465,750.4635398832032,0.6393722488709223,0.15802021320318152,1.518489883054286,0.5393730522311382,1.9650305208266532
1806,1806_phase3_R71_NoCue_1805281218.log,belief,269.8783403103587,551.6992043002983,0.502346502260075,0.502758441268474,100.0,,
1806,1806_phase3_R71_NoCue_1805281218.log,belief_ck,102.26863887561325,228.42232511038836,0.7703661290388606,0.0334475579080534,0.7262599250729876,0.4332595612744781,3.0681976061909797
1806,1806_phase3_R71_NoCue_1805291147.log,belief,268.63269091722503,549.6046032994329,0.5700717338383177,0.0013570265749676532,2.0715775753498784,,
